label,text
曇,1993/3/26
晴時々曇,1993/3/27
曇後雨,1993/3/28
晴一時雨、大風を伴う,1993/3/29
晴一時曇,1993/3/30
雨一時曇,1993/3/31
曇後一時雨、雷・ひょうを伴う,1993/4/1
快晴,1993/4/2
晴,1993/4/3
曇一時雨,1993/4/4
曇一時雨後晴,1993/4/5
曇一時晴,1993/4/6
晴,1993/4/7
晴一時雨、雷を伴う,1993/4/8
晴時々雨,1993/4/9
晴一時雨,1993/4/10
晴一時曇,1993/4/11
晴一時雨,1993/4/12
晴時々雨、雷を伴う,1993/4/13
快晴,1993/4/14
晴,1993/4/15
晴時々曇,1993/4/16
晴,1993/4/17
晴,1993/4/18
快晴,1993/4/19
曇一時雨,1993/4/20
曇,1993/4/21
曇後雨,1993/4/22
晴一時曇,1993/4/23
曇一時晴,1993/4/24
晴一時曇,1993/4/25
晴,1993/4/26
晴,1993/4/27
曇一時雨,1993/4/28
雨,1993/4/29
雨一時曇,1993/4/30
曇後晴,1993/5/1
雨一時曇,1993/5/2
曇一時雨,1993/5/3
晴,1993/5/4
薄曇,1993/5/5
曇一時晴,1993/5/6
晴後曇,1993/5/7
曇時々晴,1993/5/8
曇一時雨,1993/5/9
雨後時々曇,1993/5/10
快晴,1993/5/11
晴,1993/5/12
晴一時曇,1993/5/13
雨,1993/5/14
晴,1993/5/15
晴,1993/5/16
曇一時晴,1993/5/17
雨後曇,1993/5/18
晴,1993/5/19
薄曇後一時雨、雷を伴う,1993/5/20
晴,1993/5/21
曇後時々雨,1993/5/22
晴,1993/5/23
曇,1993/5/24
晴,1993/5/25
晴一時雨,1993/5/26
晴,1993/5/27
晴後薄曇,1993/5/28
晴時々曇,1993/5/29
曇一時雨,1993/5/30
曇一時雨,1993/5/31
曇後晴,1993/6/1
曇,1993/6/2
雨後曇一時晴,1993/6/3
晴一時雨,1993/6/4
曇一時雨,1993/6/5
曇時々雨一時晴,1993/6/6
曇一時雨,1993/6/7
曇,1993/6/8
雨後一時曇,1993/6/9
晴一時雨,1993/6/10
晴時々曇一時雨、雷を伴う,1993/6/11
晴一時曇,1993/6/12
曇後時々雨,1993/6/13
曇時々雨一時晴,1993/6/14
曇時々晴後一時雨,1993/6/15
晴一時曇,1993/6/16
曇後晴,1993/6/17
曇一時晴,1993/6/18
雨一時曇,1993/6/19
曇一時雨,1993/6/20
晴後雨、雷・ひょうを伴う,1993/6/21
曇時々晴,1993/6/22
雨,1993/6/23
曇後一時雨,1993/6/24
曇,1993/6/25
雨一時曇,1993/6/26
晴,1993/6/27
曇,1993/6/28
雨一時曇,1993/6/29
雨,1993/6/30
雨後曇,1993/7/1
曇後雨,1993/7/2
曇後晴,1993/7/3
晴後曇,1993/7/4
大雨一時曇,1993/7/5
晴,1993/7/6
曇時々雨,1993/7/7
曇,1993/7/8
曇時々晴一時雨,1993/7/9
曇時々雨,1993/7/10
曇,1993/7/11
曇時々雨,1993/7/12
雨時々曇,1993/7/13
曇一時雨,1993/7/14
曇一時晴,1993/7/15
曇時々晴,1993/7/16
曇後雨,1993/7/17
雨後霧雨,1993/7/18
雨後時々曇,1993/7/19
曇時々霧雨,1993/7/20
雨時々曇,1993/7/21
曇一時雨,1993/7/22
曇,1993/7/23
雨一時曇,1993/7/24
大雨一時曇,1993/7/25
雨時々曇,1993/7/26
曇後時々晴,1993/7/27
晴,1993/7/28
曇時々晴,1993/7/29
曇一時雨,1993/7/30
晴後薄曇,1993/7/31
晴一時雨、雷を伴う,1993/8/1
曇一時雨,1993/8/2
雨一時曇,1993/8/3
曇,1993/8/4
曇一時雨,1993/8/5
大雨,1993/8/6
曇一時雨,1993/8/7
曇一時雨,1993/8/8
曇一時雨,1993/8/9
曇一時雨,1993/8/10
晴一時雨,1993/8/11
晴,1993/8/12
晴時々曇,1993/8/13
曇時々雨,1993/8/14
曇一時雨,1993/8/15
雨一時曇,1993/8/16
曇一時雨,1993/8/17
曇一時雨,1993/8/18
曇一時雨,1993/8/19
曇一時雨,1993/8/20
曇一時雨、雷を伴う,1993/8/21
曇後晴,1993/8/22
晴,1993/8/23
晴,1993/8/24
曇時々晴一時雨,1993/8/25
曇後大雨,1993/8/26
大雨,1993/8/27
晴,1993/8/28
晴,1993/8/29
曇一時晴,1993/8/30
曇一時晴,1993/8/31
曇一時雨後晴,1993/9/1
曇一時雨,1993/9/2
曇一時雨,1993/9/3
曇時々雨、雷を伴う,1993/9/4
晴一時曇,1993/9/5
曇時々雨,1993/9/6
雨,1993/9/7
雨一時曇,1993/9/8
雨一時曇,1993/9/9
晴,1993/9/10
晴時々曇,1993/9/11
曇,1993/9/12
曇,1993/9/13
曇時々雨,1993/9/14
晴,1993/9/15
晴一時曇,1993/9/16
晴後曇一時雨,1993/9/17
晴時々曇,1993/9/18
曇一時雨,1993/9/19
曇,1993/9/20
雨後曇,1993/9/21
雨一時曇,1993/9/22
雨一時曇,1993/9/23
曇時々雨,1993/9/24
曇一時雨,1993/9/25
晴時々曇,1993/9/26
快晴,1993/9/27
晴,1993/9/28
曇一時雨,1993/9/29
晴時々曇,1993/9/30
曇時々雨,1993/10/1
晴,1993/10/2
曇後雨,1993/10/3
曇一時雨後晴,1993/10/4
曇,1993/10/5
曇,1993/10/6
雨一時曇,1993/10/7
大雨,1993/10/8
快晴,1993/10/9
曇時々晴,1993/10/10
快晴,1993/10/11
晴一時曇,1993/10/12
曇時々晴一時雨,1993/10/13
曇時々雨,1993/10/14
曇一時晴,1993/10/15
曇後雨,1993/10/16
曇時々雨,1993/10/17
曇一時雨,1993/10/18
曇,1993/10/19
晴一時曇,1993/10/20
曇時々雨,1993/10/21
晴一時曇,1993/10/22
晴一時曇,1993/10/23
晴,1993/10/24
晴,1993/10/25
晴一時曇,1993/10/26
晴,1993/10/27
快晴,1993/10/28
曇一時晴,1993/10/29
雨一時曇,1993/10/30
晴一時曇,1993/10/31
快晴,1993/11/1
晴後曇,1993/11/2
曇一時晴,1993/11/3
快晴,1993/11/4
快晴,1993/11/5
晴後曇,1993/11/6
曇,1993/11/7
雨,1993/11/8
快晴,1993/11/9
曇後晴,1993/11/10
雨時々曇,1993/11/11
曇時々雨,1993/11/12
雨一時曇,1993/11/13
曇時々晴一時雨,1993/11/14
快晴,1993/11/15
快晴,1993/11/16
晴,1993/11/17
曇,1993/11/18
晴一時曇,1993/11/19
雨一時曇,1993/11/20
雨後曇一時晴,1993/11/21
曇時々晴,1993/11/22
晴,1993/11/23
晴,1993/11/24
晴,1993/11/25
晴一時曇,1993/11/26
曇,1993/11/27
晴一時曇,1993/11/28
晴後曇,1993/11/29
曇,1993/11/30
曇,1993/12/1
晴一時曇,1993/12/2
晴一時曇,1993/12/3
曇一時晴後時々雨,1993/12/4
晴,1993/12/5
雨一時曇,1993/12/6
晴,1993/12/7
雨,1993/12/8
快晴,1993/12/9
曇後一時雨,1993/12/10
晴時々曇一時雨、雷を伴う,1993/12/11
晴,1993/12/12
晴,1993/12/13
雨時々曇,1993/12/14
曇後晴,1993/12/15
晴一時曇,1993/12/16
晴,1993/12/17
快晴,1993/12/18
曇時々晴一時雨,1993/12/19
曇後雨,1993/12/20
曇一時雨,1993/12/21
晴,1993/12/22
快晴,1993/12/23
晴,1993/12/24
曇後晴,1993/12/25
晴一時曇,1993/12/26
晴一時雨,1993/12/27
快晴,1993/12/28
快晴,1993/12/29
晴一時曇,1993/12/30
晴後曇一時雨,1993/12/31
快晴,1994/1/1
晴一時曇,1994/1/2
曇一時晴,1994/1/3
晴,1994/1/4
晴,1994/1/5
晴,1994/1/6
快晴,1994/1/7
曇,1994/1/8
快晴,1994/1/9
曇時々晴一時雨,1994/1/10
雨一時曇,1994/1/11
晴一時曇,1994/1/12
曇時々雨,1994/1/13
雨一時雪後時々曇,1994/1/14
快晴,1994/1/15
晴,1994/1/16
曇時々晴,1994/1/17
曇後雨,1994/1/18
晴一時曇,1994/1/19
晴,1994/1/20
曇後一時雨,1994/1/21
晴一時雨,1994/1/22
晴,1994/1/23
快晴,1994/1/24
晴,1994/1/25
快晴,1994/1/26
快晴,1994/1/27
曇時々みぞれ,1994/1/28
曇一時雪後晴,1994/1/29
晴,1994/1/30
晴,1994/1/31
曇後雨,1994/2/1
快晴,1994/2/2
晴一時曇,1994/2/3
晴,1994/2/4
晴,1994/2/5
晴,1994/2/6
曇後晴,1994/2/7
曇一時晴,1994/2/8
晴一時雨,1994/2/9
晴一時曇,1994/2/10
晴,1994/2/11
大雪、雷を伴う,1994/2/12
晴,1994/2/13
快晴,1994/2/14
晴後曇,1994/2/15
曇一時晴,1994/2/16
快晴,1994/2/17
晴,1994/2/18
晴,1994/2/19
晴後薄曇,1994/2/20
大雨,1994/2/21
快晴,1994/2/22
晴,1994/2/23
快晴,1994/2/24
晴後時々曇,1994/2/25
晴一時曇,1994/2/26
晴後時々曇,1994/2/27
晴一時曇,1994/2/28
晴時々曇一時雨,1994/3/1
曇一時雨後晴,1994/3/2
曇一時雨,1994/3/3
曇一時雨後晴,1994/3/4
晴後曇一時雨,1994/3/5
晴,1994/3/6
曇一時晴,1994/3/7
雨一時曇,1994/3/8
曇後時々雨,1994/3/9
雨一時曇,1994/3/10
晴時々曇,1994/3/11
曇一時雨,1994/3/12
曇一時雨,1994/3/13
曇一時晴,1994/3/14
曇一時雨,1994/3/15
晴,1994/3/16
晴,1994/3/17
曇,1994/3/18
曇時々晴,1994/3/19
曇,1994/3/20
晴,1994/3/21
曇,1994/3/22
雨一時曇,1994/3/23
曇時々晴一時雨,1994/3/24
晴一時雨,1994/3/25
晴一時雨,1994/3/26
快晴,1994/3/27
晴時々曇,1994/3/28
晴時々曇,1994/3/29
晴一時曇,1994/3/30
晴一時曇,1994/3/31
晴後曇,1994/4/1
曇時々晴一時雨,1994/4/2
快晴,1994/4/3
晴時々薄曇,1994/4/4
晴一時曇,1994/4/5
晴,1994/4/6
曇時々晴後一時雨,1994/4/7
晴後曇一時雨,1994/4/8
晴後一時曇,1994/4/9
晴時々曇,1994/4/10
曇後晴,1994/4/11
曇一時晴後時々雨,1994/4/12
曇一時晴,1994/4/13
晴時々曇一時雨,1994/4/14
晴,1994/4/15
晴,1994/4/16
晴一時曇,1994/4/17
曇,1994/4/18
晴一時雨,1994/4/19
曇時々晴,1994/4/20
晴一時曇,1994/4/21
晴,1994/4/22
曇後雨,1994/4/23
曇一時雨,1994/4/24
曇時々晴一時雨,1994/4/25
晴一時曇,1994/4/26
曇時々晴,1994/4/27
雨時々曇、雷を伴う,1994/4/28
晴,1994/4/29
晴時々曇一時雨,1994/4/30
曇一時雨,1994/5/1
雨時々曇,1994/5/2
曇,1994/5/3
曇時々雨,1994/5/4
曇,1994/5/5
晴後曇一時雨,1994/5/6
晴,1994/5/7
晴一時曇,1994/5/8
快晴,1994/5/9
晴一時曇,1994/5/10
曇後雨,1994/5/11
雨時々曇後一時晴,1994/5/12
晴一時曇,1994/5/13
晴,1994/5/14
雨一時曇,1994/5/15
晴,1994/5/16
晴時々曇,1994/5/17
曇後晴,1994/5/18
快晴,1994/5/19
曇後晴,1994/5/20
晴後曇,1994/5/21
曇後晴,1994/5/22
晴,1994/5/23
晴一時曇,1994/5/24
晴後曇,1994/5/25
曇後雨,1994/5/26
雨後曇,1994/5/27
曇,1994/5/28
曇時々晴,1994/5/29
雨後晴,1994/5/30
曇時々晴,1994/5/31
曇後時々雨、雷を伴う,1994/6/1
晴一時雨,1994/6/2
晴,1994/6/3
晴,1994/6/4
曇,1994/6/5
晴時々曇,1994/6/6
曇一時雨,1994/6/7
曇,1994/6/8
雨,1994/6/9
晴一時曇,1994/6/10
晴時々曇,1994/6/11
曇時々雨,1994/6/12
雨時々曇,1994/6/13
曇時々雨後晴,1994/6/14
晴,1994/6/15
曇時々晴後一時雨,1994/6/16
晴,1994/6/17
曇時々晴,1994/6/18
大雨,1994/6/19
雨時々曇,1994/6/20
曇一時晴,1994/6/21
晴一時曇,1994/6/22
曇一時雨,1994/6/23
曇一時雨,1994/6/24
曇時々雨,1994/6/25
晴後雨,1994/6/26
晴一時曇,1994/6/27
曇時々雨,1994/6/28
曇一時雨,1994/6/29
曇,1994/6/30
曇一時雨,1994/7/1
曇一時雨,1994/7/2
晴一時曇,1994/7/3
晴,1994/7/4
晴,1994/7/5
曇時々晴一時雨,1994/7/6
曇時々雨,1994/7/7
曇時々晴,1994/7/8
雨時々曇,1994/7/9
曇一時雨,1994/7/10
曇時々晴,1994/7/11
晴一時曇,1994/7/12
晴一時曇,1994/7/13
曇後晴,1994/7/14
晴,1994/7/15
曇一時晴,1994/7/16
晴一時曇,1994/7/17
曇後大雨、雷を伴う,1994/7/18
曇,1994/7/19
晴一時曇,1994/7/20
晴一時曇,1994/7/21
曇一時雨後晴,1994/7/22
晴,1994/7/23
晴,1994/7/24
晴,1994/7/25
晴,1994/7/26
曇後晴,1994/7/27
晴一時曇,1994/7/28
雨,1994/7/29
曇一時雨後晴,1994/7/30
晴後一時曇,1994/7/31
薄曇,1994/8/1
晴,1994/8/2
晴一時曇,1994/8/3
晴時々薄曇,1994/8/4
曇後時々雨、雷を伴う,1994/8/5
曇,1994/8/6
晴一時曇,1994/8/7
晴,1994/8/8
晴一時曇,1994/8/9
晴,1994/8/10
晴一時曇,1994/8/11
曇一時雨後晴,1994/8/12
晴一時雨,1994/8/13
晴,1994/8/14
晴,1994/8/15
晴,1994/8/16
晴,1994/8/17
晴,1994/8/18
曇一時雨、雷を伴う,1994/8/19
曇時々雨、雷を伴う,1994/8/20
雨一時曇、雷を伴う,1994/8/21
曇時々雨,1994/8/22
晴時々曇一時雨,1994/8/23
晴時々曇,1994/8/24
曇一時晴,1994/8/25
曇後晴,1994/8/26
晴,1994/8/27
晴,1994/8/28
晴一時曇,1994/8/29
曇時々晴一時雨,1994/8/30
晴一時曇,1994/8/31
晴後曇一時雨,1994/9/1
晴後大雨、雷を伴う,1994/9/2
曇一時晴,1994/9/3
晴,1994/9/4
晴後曇,1994/9/5
晴時々曇,1994/9/6
晴、雷を伴う,1994/9/7
曇時々晴,1994/9/8
晴,1994/9/9
曇時々晴一時雨,1994/9/10
晴後一時曇,1994/9/11
曇一時雨,1994/9/12
曇後雨,1994/9/13
雨時々曇,1994/9/14
雨,1994/9/15
曇一時雨、雷を伴う,1994/9/16
曇時々雨一時晴、雷を伴う,1994/9/17
曇一時雨後晴,1994/9/18
曇時々雨後一時晴,1994/9/19
快晴,1994/9/20
曇後晴,1994/9/21
曇後雨、雷を伴う,1994/9/22
曇一時雨後晴,1994/9/23
雨一時曇,1994/9/24
曇一時雨,1994/9/25
曇時々晴後一時雨,1994/9/26
雨一時曇,1994/9/27
雨,1994/9/28
曇時々雨,1994/9/29
曇後晴,1994/9/30
曇一時雨,1994/10/1
曇,1994/10/2
晴後曇一時雨,1994/10/3
曇時々雨,1994/10/4
曇一時雨,1994/10/5
曇,1994/10/6
晴,1994/10/7
曇一時晴,1994/10/8
雨後曇,1994/10/9
曇一時雨,1994/10/10
雨一時曇,1994/10/11
雨後晴,1994/10/12
曇一時雨,1994/10/13
晴時々曇,1994/10/14
晴後一時曇,1994/10/15
晴後曇,1994/10/16
曇,1994/10/17
晴時々曇,1994/10/18
晴時々曇,1994/10/19
雨後曇,1994/10/20
雨一時曇,1994/10/21
晴時々曇,1994/10/22
晴一時曇,1994/10/23
晴,1994/10/24
曇一時雨,1994/10/25
曇,1994/10/26
曇一時雨,1994/10/27
曇一時雨,1994/10/28
雨一時曇,1994/10/29
曇一時雨,1994/10/30
曇後一時雨,1994/10/31
晴,1994/11/1
晴,1994/11/2
曇時々雨,1994/11/3
晴,1994/11/4
曇時々晴,1994/11/5
雨一時曇,1994/11/6
曇,1994/11/7
曇後晴,1994/11/8
快晴,1994/11/9
快晴,1994/11/10
晴,1994/11/11
快晴,1994/11/12
晴後一時雨,1994/11/13
曇一時雨,1994/11/14
晴,1994/11/15
快晴,1994/11/16
晴後曇,1994/11/17
曇一時晴,1994/11/18
曇後晴,1994/11/19
曇一時雨,1994/11/20
晴後曇,1994/11/21
曇一時雨,1994/11/22
晴後一時曇,1994/11/23
晴,1994/11/24
晴,1994/11/25
晴後曇,1994/11/26
晴,1994/11/27
曇一時晴,1994/11/28
快晴,1994/11/29
快晴,1994/11/30
晴,1994/12/1
曇一時雨後晴,1994/12/2
晴後曇,1994/12/3
晴,1994/12/4
